id_station,phase,type_filtre,id_filtre,ph,potentiel_redox_mv,dbo5_mg_l,dco_mg_l,mes_mg_l,nitrates_mg_l,ammonium_mg_l,azote_total_mg_l,phosphates_mg_l,coliformes_fecaux_cfu_100ml,nom_feuille,contient_valeurs_estimees
Sanar_Station,Sortie,Filtre_Vertical,FV1,6.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,SFV1c,False
Sanar_Station,Sortie,Filtre_Vertical,FV1,8.133333333333335,-69.8,70.1,204.0,44.75,15.2475,54.0,125.0,42.3,1917500.0,SFV1c,False
Sanar_Station,Sortie,Filtre_Vertical,FV1,8.23,44.0,120.0,215.0,55.0,33.88,60.0,200.0,80.0,2670000.0,SFV1c,False
Sanar_Station,Sortie,Filtre_Vertical,FV1,7.98,-185.0,39.4,184.0,28.0,2.26,48.0,70.0,16.1,1000000.0,SFV1c,False
Sanar_Station,Sortie,Filtre_Vertical,FV1,0.0893681524183343,85.53478824431612,34.740658216754255,13.73559851869101,12.338962679253068,14.089124351782832,6.377042156569663,54.4671154612273,28.238626028898786,688397.8985054113,SFV1c,False
Sanar_Station,Sortie,Filtre_Vertical,FV1,0.0109878875924181,-1.2254267656778814,0.4955871357596898,0.067331365287701,0.2757310095922473,0.9240284867540798,0.1180933732698085,0.4357369236898184,0.6675798115578909,0.3590080305112966,SFV1c,False
Sanar_Station,Sortie,Filtre_Vertical,FV2,7.0,6.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,SFV2a,False
Sanar_Station,Sortie,Filtre_Vertical,FV2,5.748571428571429,171.66666666666666,1.3,110.5,11.25,7.6225,5.2,76.5,10.15,11660.0,SFV2a,False
Sanar_Station,Sortie,Filtre_Vertical,FV2,6.51,278.0,2.2,145.0,18.0,11.75,5.9,98.0,12.5,33300.0,SFV2a,False
Sanar_Station,Sortie,Filtre_Vertical,FV2,5.14,24.0,0.3,89.0,6.0,2.03,4.7,50.0,7.5,0.0,SFV2a,False
Sanar_Station,Sortie,Filtre_Vertical,FV2,0.4763552096012866,84.68451255493338,0.953939201416946,24.186773244895647,5.737304826019502,4.205451818770488,0.5099019513592785,21.1266025033211,2.5696951829610675,14765.335530672282,SFV2a,False
Sanar_Station,Sortie,Filtre_Vertical,FV2,0.0828649718491303,0.4933078401258255,0.7337993857053431,0.2188848257456619,0.5099826512017335,0.5517155551027206,0.098058067569092,0.2761647386055045,0.2531719392079869,1.2663238019444496,SFV2a,False
Sanar_Station,Sortie,Filtre_Vertical,FV2,6.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,SFV2b,False
Sanar_Station,Sortie,Filtre_Vertical,FV2,5.8116666666666665,176.0,2.375,90.75,15.25,10.9575,2.1,62.0,12.5,4165.0,SFV2b,False
Sanar_Station,Sortie,Filtre_Vertical,FV2,6.25,253.0,4.8,136.0,20.0,14.0,2.2,73.0,14.0,6670.0,SFV2b,False
Sanar_Station,Sortie,Filtre_Vertical,FV2,5.19,103.0,0.8,57.0,11.0,9.5,2.0,30.0,10.9,3330.0,SFV2b,False
Sanar_Station,Sortie,Filtre_Vertical,FV2,0.4124277714541863,56.73182528352142,1.840968947773608,33.42030321027424,4.425306015783918,2.0857672449245217,0.1154700538379252,21.33854103103896,1.4071247279470287,1670.0,SFV2b,False
Sanar_Station,Sortie,Filtre_Vertical,FV2,0.0709654897827679,0.3223399163836444,0.7751448201152035,0.3682678039699641,0.290184001035011,0.1903506497763652,0.0549857399228215,0.3441700166296607,0.1125699782357623,0.4009603841536615,SFV2b,False
